	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
CFTRP2	0	0	0	0	0	0	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
CDC27P3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP532	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L37	0	0	0	0	0	0	0	0	0	0	0	0
CFTRP3	0	0	0	0	0	0	0	0	0	0	0	0
LINC01597	1	2	2	0	0	0	0	3	3	2	2	2
AL121762.1	0	0	0	0	0	0	0	0	0	0	0	0
AL121762.2	0	0	0	0	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
FAM242A	0	0	0	0	0	0	0	0	0	0	0	0
FRG1BP	17	45	31	20	3	9	3	26	27	22	11	19
MLLT10P1	3	4	10	0	0	4	0	4	2	4	3	5
5_8S_rRNA	0	1	0	0	0	0	0	0	0	1	0	0
AC018688.1	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD20A21P	1	0	0	0	0	0	0	0	0	0	0	0
U6	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP528	0	0	0	0	0	0	0	0	0	0	0	1
DEFB115	0	0	0	0	0	0	0	0	0	0	0	0
DKKL1P1	0	0	0	0	0	0	0	0	0	0	0	0
AL121723.1	0	0	0	0	0	0	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0	0	0	0	0	0	0
RPL31P3	0	0	0	0	0	1	0	0	0	0	0	0
HAUS6P2	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP480	0	0	0	1	0	0	0	0	0	0	0	0
DEFB117	0	0	0	0	0	0	0	0	0	0	0	0
DEFB118	0	7	4	40	6	8	0	1	0	1	0	0
AL031650.1	0	0	0	0	0	0	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0	0	0	0	0	0	0
REM1	0	0	0	0	0	0	1	0	0	0	0	0
LINC00028	0	0	0	0	0	0	0	0	0	0	0	0
HM13	127	209	213	340	221	96	58	134	138	136	129	119
AL110115.1	2	3	0	3	4	0	0	3	4	1	3	0
MCTS2P	0	0	0	0	0	0	0	0	0	0	0	0
HM13-IT1	3	4	6	3	1	3	6	10	13	3	3	2
HM13-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AL110115.2	1	0	1	0	0	0	0	0	0	1	0	0
RNU6-384P	0	0	0	0	0	0	0	0	0	0	0	0
ID1	2	5	7	7	10	6	8	4	3	6	8	5
MIR3193	0	0	0	0	0	0	0	0	0	0	0	0
COX4I2	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L1	13	22	45	27	34	6	7	24	35	22	28	13
BCL2L1-AS1	0	0	1	0	0	0	0	0	1	0	0	1
